Date,Value
2016-01-01,14.15
2016-02-01,14.15
2016-03-01,14.15
2016-04-01,14.15
2016-05-01,14.15
2016-06-01,14.15
2016-07-01,14.15
2016-08-01,14.15
2016-09-01,14.15
2016-10-01,14.05
2016-11-01,13.90
2016-12-01,13.65
2017-01-01,13.17
2017-02-01,12.82
2017-03-01,12.15
2017-04-01,11.59
2017-05-01,11.15
2017-06-01,10.15
2017-07-01,10.01
2017-08-01,9.15
2017-09-01,8.35
2017-10-01,8.01
2017-11-01,6.64
2017-12-01,7.00
2018-01-01,6.90
2018-02-01,6.72
2018-03-01,6.58
2018-04-01,6.40
2018-05-01,6.40
2018-06-01,6.40
2018-07-01,6.40
2018-08-01,6.40
2018-09-01,6.40
2018-10-01,6.40
2018-11-01,6.40
2018-12-01,6.40
2019-01-01,6.40
2019-02-01,6.40
2019-03-01,6.40
2019-04-01,6.40
2019-05-01,6.40
2019-06-01,6.40
2019-07-01,6.40
2019-08-01,5.90
2019-09-01,5.71
2019-10-01,5.38
2019-11-01,4.90
2019-12-01,4.59
2020-01-01,4.40
2020-02-01,4.19
2020-03-01,3.95
2020-04-01,3.65
2020-05-01,3.01
2020-06-01,2.58
2020-07-01,2.15
2020-08-01,1.94
2020-09-01,1.90
2020-10-01,1.90
2020-11-01,1.90
2020-12-01,1.90
2021-01-01,1.90
2021-02-01,1.90
2021-03-01,2.23
2021-04-01,2.65
2021-05-01,3.29
2021-06-01,3.76
2021-07-01,4.15
2021-08-01,5.01
2021-09-01,5.43
2021-10-01,6.30
2021-11-01,7.65
2021-12-01,8.76
2022-01-01,9.15
2022-02-01,10.49
2022-03-01,11.15
2022-04-01,11.65
2022-05-01,12.51
2022-06-01,12.89
2022-07-01,13.15
2022-08-01,13.58
2022-09-01,13.65
2022-10-01,13.65
2022-11-01,13.65
2022-12-01,13.65
2023-01-01,13.65
2023-02-01,13.65
2023-03-01,13.65
2023-04-01,13.65
2023-05-01,13.65
2023-06-01,13.65
2023-07-01,13.65
2023-08-01,13.19
2023-09-01,12.97
2023-10-01,12.65
2023-11-01,12.17
2023-12-01,11.87
2024-01-01,11.65
2024-02-01,11.15
2024-03-01,11.00
2024-04-01,10.65
2024-05-01,10.46
2024-06-01,10.40
